name,country,website
Royal Opera House,UK,https://www.roh.org.uk
English National Opera,UK,https://www.eno.org
Welsh National Opera,UK,https://wno.org.uk
Opera North,UK,https://www.operanorth.co.uk
Scottish Opera,UK,https://www.scottishopera.org.uk
Glyndebourne,UK,https://www.glyndebourne.com
Garsington Opera,UK,https://www.garsingtonopera.org
Grange Park Opera,UK,https://grangeparkopera.co.uk
Opera Holland Park,UK,https://operahollandpark.com
Longborough Festival Opera,UK,https://lfo.org.uk
Buxton International Festival,UK,https://buxtonfestival.co.uk
British Youth Opera,UK,https://byo.org.uk
Irish National Opera,Ireland,https://irishnationalopera.ie
Metropolitan Opera,USA,https://www.metopera.org
Lyric Opera of Chicago,USA,https://www.lyricopera.org
San Francisco Opera,USA,https://www.sfopera.com
Houston Grand Opera,USA,https://www.houstongrandopera.org
Washington National Opera,USA,https://www.kennedy-center.org/wno
Seattle Opera,USA,https://www.seattleopera.org
Santa Fe Opera,USA,https://www.santafeopera.org
LA Opera,USA,https://www.laopera.org
Opera Philadelphia,USA,https://www.operaphila.org
Minnesota Opera,USA,https://mnopera.org
Dallas Opera,USA,https://dallasopera.org
Boston Lyric Opera,USA,https://blo.org
Michigan Opera Theatre,USA,https://detroitopera.org
Glimmerglass Festival,USA,https://glimmerglass.org
Wolf Trap Opera,USA,https://www.wolftrap.org
Canadian Opera Company,Canada,https://www.coc.ca
Opera Atelier,Canada,https://www.operaatelier.com
Pacific Opera Victoria,Canada,https://pacificopera.ca
Opera de Montreal,Canada,https://www.operademontreal.com
Wiener Staatsoper,Austria,https://www.wiener-staatsoper.at
Volksoper Wien,Austria,https://www.volksoper.at
Salzburger Festspiele,Austria,https://www.salzburgerfestspiele.at
Bayerische Staatsoper,Germany,https://www.staatsoper.de
Staatsoper Unter den Linden,Germany,https://www.staatsoper-berlin.de
Deutsche Oper Berlin,Germany,https://www.deutscheoperberlin.de
Komische Oper Berlin,Germany,https://www.komische-oper-berlin.de
Oper Frankfurt,Germany,https://oper-frankfurt.de
Semperoper Dresden,Germany,https://www.semperoper.de
Staatsoper Hamburg,Germany,https://www.staatsoper-hamburg.de
Oper Koln,Germany,https://www.oper.koeln
Deutsche Oper am Rhein,Germany,https://operamrhein.de
Oper Stuttgart,Germany,https://www.staatsoper-stuttgart.de
Oper Leipzig,Germany,https://www.oper-leipzig.de
Theater Basel,Switzerland,https://www.theater-basel.ch
Opernhaus Zurich,Switzerland,https://www.opernhaus.ch
Grand Theatre de Geneve,Switzerland,https://www.gtg.ch
Opera national de Paris,France,https://www.operadeparis.fr
Opera Comique,France,https://www.opera-comique.com
Opera de Lyon,France,https://www.opera-lyon.com
Theatre du Capitole Toulouse,France,https://www.theatreducapitole.fr
Teatro alla Scala,Italy,https://www.teatroallascala.org
Teatro La Fenice,Italy,https://www.teatrolafenice.it
Teatro dell'Opera di Roma,Italy,https://www.operaroma.it
Teatro Comunale di Bologna,Italy,https://www.tcbo.it
