role,opera,composer,fach,voice
Susanna,Le nozze di Figaro,Mozart,Soubrette / lyrischer Sopran,Soprano
Contessa Almaviva,Le nozze di Figaro,Mozart,Lyrischer Sopran,Soprano
Cherubino,Le nozze di Figaro,Mozart,Lyrischer Mezzosopran,Mezzo
Marcellina,Le nozze di Figaro,Mozart,Spielalt,Mezzo
Barbarina,Le nozze di Figaro,Mozart,Soubrette,Soprano
Figaro,Le nozze di Figaro,Mozart,Bass-Bariton / Spielbass,Bass-baritone
Conte Almaviva,Le nozze di Figaro,Mozart,Kavalierbariton,Baritone
Don Basilio,Le nozze di Figaro,Mozart,Charaktertenor / Spieltenor,Tenor
Bartolo,Le nozze di Figaro,Mozart,Spielbass,Bass
Don Curzio,Le nozze di Figaro,Mozart,Charaktertenor,Tenor
Antonio,Le nozze di Figaro,Mozart,Spielbass,Bass
Don Giovanni,Don Giovanni,Mozart,Kavalierbariton,Baritone
Donna Anna,Don Giovanni,Mozart,Jugendlich-dramatischer Sopran,Soprano
Don Ottavio,Don Giovanni,Mozart,Lyrischer Tenor,Tenor
Donna Elvira,Don Giovanni,Mozart,Lyrischer Sopran,Soprano
Leporello,Don Giovanni,Mozart,Spielbass / Bass-Bariton,Bass
Zerlina,Don Giovanni,Mozart,Soubrette / lyrischer Sopran,Soprano
Masetto,Don Giovanni,Mozart,Spielbass,Bass
Il Commendatore,Don Giovanni,Mozart,Serioeser Bass,Bass
Fiordiligi,Cosi fan tutte,Mozart,Lyrischer Sopran,Soprano
Dorabella,Cosi fan tutte,Mozart,Lyrischer Mezzosopran,Mezzo
Despina,Cosi fan tutte,Mozart,Soubrette,Soprano
Ferrando,Cosi fan tutte,Mozart,Lyrischer Tenor,Tenor
Guglielmo,Cosi fan tutte,Mozart,Lyrischer Bariton,Baritone
Don Alfonso,Cosi fan tutte,Mozart,Bass-Bariton,Bass-baritone
Tamino,Die Zauberfloete,Mozart,Lyrischer Tenor,Tenor
Pamina,Die Zauberfloete,Mozart,Lyrischer Sopran,Soprano
Koenigin der Nacht,Die Zauberfloete,Mozart,Dramatischer Koloratursopran,Soprano
Papageno,Die Zauberfloete,Mozart,Kavalierbariton,Baritone
Papagena,Die Zauberfloete,Mozart,Soubrette,Soprano
Sarastro,Die Zauberfloete,Mozart,Serioeser Bass,Bass
Monostatos,Die Zauberfloete,Mozart,Charaktertenor / Spieltenor,Tenor
Sprecher,Die Zauberfloete,Mozart,Bass-Bariton,Bass-baritone
Konstanze,Die Entfuehrung aus dem Serail,Mozart,Koloratursopran,Soprano
Blonde,Die Entfuehrung aus dem Serail,Mozart,Soubrette / Koloratursopran,Soprano
Belmonte,Die Entfuehrung aus dem Serail,Mozart,Lyrischer Tenor,Tenor
Pedrillo,Die Entfuehrung aus dem Serail,Mozart,Spieltenor,Tenor
Osmin,Die Entfuehrung aus dem Serail,Mozart,Schwerer Spielbass,Bass
Idomeneo,Idomeneo,Mozart,Lyrischer Tenor / jugendlicher Heldentenor,Tenor
Idamante,Idomeneo,Mozart,Lyrischer Mezzosopran / Tenor,Mezzo
Ilia,Idomeneo,Mozart,Lyrischer Sopran,Soprano
Elettra,Idomeneo,Mozart,Jugendlich-dramatischer Sopran,Soprano
Tito,La clemenza di Tito,Mozart,Lyrischer Tenor,Tenor
Vitellia,La clemenza di Tito,Mozart,Jugendlich-dramatischer Sopran,Soprano
Sesto,La clemenza di Tito,Mozart,Lyrischer Mezzosopran,Mezzo
Annio,La clemenza di Tito,Mozart,Lyrischer Mezzosopran,Mezzo
Servilia,La clemenza di Tito,Mozart,Soubrette,Soprano
Publio,La clemenza di Tito,Mozart,Serioeser Bass,Bass
Violetta Valery,La traviata,Verdi,Lyrischer Koloratursopran,Soprano
Alfredo Germont,La traviata,Verdi,Lyrischer Tenor,Tenor
Giorgio Germont,La traviata,Verdi,Kavalierbariton,Baritone
Flora Bervoix,La traviata,Verdi,Mezzosopran,Mezzo
Rigoletto,Rigoletto,Verdi,Charakterbariton / Verdi-Bariton,Baritone
Gilda,Rigoletto,Verdi,Lyrischer Koloratursopran,Soprano
Duca di Mantova,Rigoletto,Verdi,Lyrischer Tenor,Tenor
Sparafucile,Rigoletto,Verdi,Serioeser Bass,Bass
Maddalena,Rigoletto,Verdi,Dramatischer Mezzosopran,Mezzo
Manrico,Il trovatore,Verdi,Heldentenor,Tenor
Leonora,Il trovatore,Verdi,Jugendlich-dramatischer Sopran,Soprano
Conte di Luna,Il trovatore,Verdi,Verdi-Bariton,Baritone
Azucena,Il trovatore,Verdi,Dramatischer Mezzosopran,Mezzo
Ferrando,Il trovatore,Verdi,Serioeser Bass,Bass
Aida,Aida,Verdi,Dramatischer Sopran,Soprano
Radames,Aida,Verdi,Heldentenor,Tenor
Amneris,Aida,Verdi,Dramatischer Mezzosopran,Mezzo
Amonasro,Aida,Verdi,Verdi-Bariton,Baritone
Ramfis,Aida,Verdi,Serioeser Bass,Bass
Otello,Otello,Verdi,Heldentenor,Tenor
Desdemona,Otello,Verdi,Lyrischer Sopran,Soprano
Iago,Otello,Verdi,Verdi-Bariton,Baritone
Emilia,Otello,Verdi,Mezzosopran,Mezzo
Cassio,Otello,Verdi,Lyrischer Tenor,Tenor
Falstaff,Falstaff,Verdi,Charakterbariton,Baritone
Alice Ford,Falstaff,Verdi,Lyrischer Sopran,Soprano
Nannetta,Falstaff,Verdi,Lyrischer Koloratursopran,Soprano
Fenton,Falstaff,Verdi,Lyrischer Tenor,Tenor
Ford,Falstaff,Verdi,Kavalierbariton,Baritone
Mistress Quickly,Falstaff,Verdi,Dramatischer Alt,Contralto
Meg Page,Falstaff,Verdi,Mezzosopran,Mezzo
Don Carlo,Don Carlo,Verdi,Heldentenor,Tenor
Elisabetta di Valois,Don Carlo,Verdi,Jugendlich-dramatischer Sopran,Soprano
Rodrigo,Don Carlo,Verdi,Verdi-Bariton,Baritone
Filippo II,Don Carlo,Verdi,Serioeser Bass,Bass
Principessa Eboli,Don Carlo,Verdi,Dramatischer Mezzosopran,Mezzo
Grande Inquisitore,Don Carlo,Verdi,Serioeser Bass,Bass
Macbeth,Macbeth,Verdi,Verdi-Bariton,Baritone
Lady Macbeth,Macbeth,Verdi,Dramatischer Sopran,Soprano
Banco,Macbeth,Verdi,Serioeser Bass,Bass
Macduff,Macbeth,Verdi,Heldentenor,Tenor
Simon Boccanegra,Simon Boccanegra,Verdi,Verdi-Bariton,Baritone
Amelia Grimaldi,Simon Boccanegra,Verdi,Lyrischer Sopran,Soprano
Jacopo Fiesco,Simon Boccanegra,Verdi,Serioeser Bass,Bass
Gabriele Adorno,Simon Boccanegra,Verdi,Heldentenor,Tenor
Nabucco,Nabucco,Verdi,Verdi-Bariton,Baritone
Abigaille,Nabucco,Verdi,Dramatischer Sopran,Soprano
Zaccaria,Nabucco,Verdi,Serioeser Bass,Bass
Fenena,Nabucco,Verdi,Mezzosopran,Mezzo
Ismaele,Nabucco,Verdi,Heldentenor,Tenor
Riccardo,Un ballo in maschera,Verdi,Heldentenor,Tenor
Amelia,Un ballo in maschera,Verdi,Dramatischer Sopran,Soprano
Renato,Un ballo in maschera,Verdi,Verdi-Bariton,Baritone
Ulrica,Un ballo in maschera,Verdi,Dramatischer Alt,Contralto
Oscar,Un ballo in maschera,Verdi,Koloratursopran / Soubrette,Soprano
Leonora,La forza del destino,Verdi,Dramatischer Sopran,Soprano
Don Alvaro,La forza del destino,Verdi,Heldentenor,Tenor
Don Carlo di Vargas,La forza del destino,Verdi,Verdi-Bariton,Baritone
Preziosilla,La forza del destino,Verdi,Mezzosopran,Mezzo
Padre Guardiano,La forza del destino,Verdi,Serioeser Bass,Bass
Fra Melitone,La forza del destino,Verdi,Spielbass,Bass
Luisa Miller,Luisa Miller,Verdi,Lyrischer Sopran,Soprano
Mimi,La boheme,Puccini,Lyrischer Sopran,Soprano
Rodolfo,La boheme,Puccini,Lyrischer Tenor,Tenor
Musetta,La boheme,Puccini,Lyrischer Sopran / Soubrette,Soprano
Marcello,La boheme,Puccini,Lyrischer Bariton,Baritone
Schaunard,La boheme,Puccini,Lyrischer Bariton,Baritone
Colline,La boheme,Puccini,Serioeser Bass,Bass
Benoit,La boheme,Puccini,Spielbass,Bass
Alcindoro,La boheme,Puccini,Spielbass,Bass
Tosca,Tosca,Puccini,Dramatischer Sopran,Soprano
Mario Cavaradossi,Tosca,Puccini,Jugendlicher Heldentenor,Tenor
Barone Scarpia,Tosca,Puccini,Verdi-Bariton / Charakterbariton,Baritone
Angelotti,Tosca,Puccini,Bass,Bass
Sagrestano,Tosca,Puccini,Spielbass,Bass
Spoletta,Tosca,Puccini,Spieltenor,Tenor
Cio-Cio-San,Madama Butterfly,Puccini,Jugendlich-dramatischer Sopran,Soprano
Pinkerton,Madama Butterfly,Puccini,Lyrischer Tenor,Tenor
Sharpless,Madama Butterfly,Puccini,Kavalierbariton,Baritone
Suzuki,Madama Butterfly,Puccini,Mezzosopran,Mezzo
Goro,Madama Butterfly,Puccini,Spieltenor,Tenor
Turandot,Turandot,Puccini,Hochdramatischer Sopran,Soprano
Calaf,Turandot,Puccini,Heldentenor,Tenor
Liu,Turandot,Puccini,Lyrischer Sopran,Soprano
Timur,Turandot,Puccini,Serioeser Bass,Bass
Ping,Turandot,Puccini,Lyrischer Bariton,Baritone
Manon Lescaut,Manon Lescaut,Puccini,Jugendlich-dramatischer Sopran,Soprano
Des Grieux,Manon Lescaut,Puccini,Jugendlicher Heldentenor,Tenor
Minnie,La fanciulla del West,Puccini,Dramatischer Sopran,Soprano
Dick Johnson,La fanciulla del West,Puccini,Heldentenor,Tenor
Jack Rance,La fanciulla del West,Puccini,Verdi-Bariton,Baritone
Angelica,Suor Angelica,Puccini,Lyrischer Sopran,Soprano
La Zia Principessa,Suor Angelica,Puccini,Dramatischer Alt,Contralto
Gianni Schicchi,Gianni Schicchi,Puccini,Charakterbariton,Baritone
Lauretta,Gianni Schicchi,Puccini,Lyrischer Sopran,Soprano
Rinuccio,Gianni Schicchi,Puccini,Lyrischer Tenor,Tenor
Figaro,Il barbiere di Siviglia,Rossini,Lyrischer Bariton / Spielbariton,Baritone
Rosina,Il barbiere di Siviglia,Rossini,Koloraturmezzosopran,Mezzo
Conte Almaviva,Il barbiere di Siviglia,Rossini,Lyrischer Tenor / Rossini-Tenor,Tenor
Don Bartolo,Il barbiere di Siviglia,Rossini,Bassbuffo,Bass
Don Basilio,Il barbiere di Siviglia,Rossini,Serioeser Bass / Bassbuffo,Bass
Berta,Il barbiere di Siviglia,Rossini,Soubrette,Soprano
Angelina,La Cenerentola,Rossini,Koloraturmezzosopran,Mezzo
Don Ramiro,La Cenerentola,Rossini,Rossini-Tenor,Tenor
Dandini,La Cenerentola,Rossini,Lyrischer Bariton,Baritone
Don Magnifico,La Cenerentola,Rossini,Bassbuffo,Bass
Isabella,L'italiana in Algeri,Rossini,Koloraturmezzosopran,Mezzo
Mustafa,L'italiana in Algeri,Rossini,Bassbuffo,Bass
Lindoro,L'italiana in Algeri,Rossini,Rossini-Tenor,Tenor
Guillaume Tell,Guillaume Tell,Rossini,Verdi-Bariton,Baritone
Arnold,Guillaume Tell,Rossini,Heldentenor,Tenor
Lucia,Lucia di Lammermoor,Donizetti,Lyrischer Koloratursopran,Soprano
