Company,Country,Production,Role,Voice type,Also called,Voice,Opera (matched),Composer,Marked as,Link,Found on
Tiroler Landestheater Innsbruck,Austria,Don Giovanni,Don Ottavio,Lyrischer Tenor,,Tenor,Don Giovanni,Mozart,N.N.,https://www.landestheater.at/produktionen/don-giovanni,2026-08-21
Bayerische Staatsoper,Germany,DIE KAMELIENDAME,Manon Lescaut,Jugendlich-dramatischer Sopran,,Soprano,Manon Lescaut,Puccini,N.N.,https://www.staatsoper.de/stuecke/die-kameliendame,2026-08-21
Bayerische Staatsoper,Germany,DIE KAMELIENDAME,Des Grieux,Jugendlicher Heldentenor,,Tenor,Manon Lescaut,Puccini,N.N.,https://www.staatsoper.de/stuecke/die-kameliendame,2026-08-21
Bayerische Staatsoper,Germany,DIE KAMELIENDAME,Olympia,Koloratursopran,,Soprano,Les contes d'Hoffmann,Offenbach,N.N.,https://www.staatsoper.de/stuecke/die-kameliendame,2026-08-21
Deutsche Oper am Rhein,Germany,Il barbiere di Siviglia,Bartolo,Spielbass,,Bass,Le nozze di Figaro,Mozart,N.N.,https://operamrhein.de/spielplan/produktionen/il-barbiere-di-siviglia/,2026-08-21
Semperoper Dresden,Germany,Don Carlo,Il Conte di Lerma,Charaktertenor,,Tenor,Don Carlo,Verdi,N.N.,https://www.semperoper.de/spielplan/stuecke/stid/don-carlo/61447.html,2026-08-21
Semperoper Dresden,Germany,Don Carlo,Un Frate,Serioeser Bass,,Bass,Don Carlo,Verdi,N.N.,https://www.semperoper.de/spielplan/stuecke/stid/don-carlo/61447.html,2026-08-21
Semperoper Dresden,Germany,La bohème,Musetta,Lyrischer Sopran / Soubrette,,Soprano,La boheme,Puccini,N.N.,https://www.semperoper.de/spielplan/stuecke/stid/boheme/147.html,2026-08-21
Semperoper Dresden,Germany,La bohème,Colline,Serioeser Bass,,Bass,La boheme,Puccini,N.N.,https://www.semperoper.de/spielplan/stuecke/stid/boheme/147.html,2026-08-21
Semperoper Dresden,Germany,Die Zauberflöte,Papagena,Soubrette,,Soprano,Die Zauberfloete,Mozart,N.N.,https://www.semperoper.de/spielplan/stuecke/stid/zauberfloete/61859.html,2026-08-21
Semperoper Dresden,Germany,Die Zauberflöte,Sarastro,Serioeser Bass,,Bass,Die Zauberfloete,Mozart,N.N.,https://www.semperoper.de/spielplan/stuecke/stid/zauberfloete/61859.html,2026-08-21
